Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage2010	damage2011	damage2014	Notes2011	Notes2014
Clingmans Dome	189.01	27	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	8.5	5.0	-1.5	-5.0	273882.7120	3938641.9400	586.7221	1.44	1.60	N	N	0	0	ND	ND	ND	previously tagged	
Clingmans Dome	190.01	99	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	4.0	9.0	-6.0	-1.0	273876.7284	3938641.2720	587.5340	38.60	40.10	N	UN	2	2	ND	ND	ND	previously tagged	
Clingmans Dome	191.01	685	abieFras	NaN	2011	NaN	NaN	NaN	2014	-10	-10	3.5	7.0	-6.5	-3.0	273877.8801	3938639.5620	587.5340	10.10	NaN	N		1		ND	ND		previously tagged, tag 27cm below DBH	MIA
Clingmans Dome	192.01	687	abieFras	NaN	2011	NaN	NaN	NaN	2014	-10	-10	8.0	4.5	-2.0	-5.5	273882.7490	3938641.2330	586.7221	10.40	NaN	N		0		ND	ND		previously tagged	MIA
Clingmans Dome	193.01	691	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	5.0	6.0	-5.0	-4.0	273879.6269	3938640.0080	587.5340	16.00	17.20	N	N	1	1	ND	ND	ND	previously tagged	
Clingmans Dome	194.01	692	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	5.5	5.5	-4.5	-4.5	273880.3331	3938640.0450	587.5340	10.70	11.40	N	N	1	1	ND	ND	ND	previously tagged, tag 45cm below DBH	
Clingmans Dome	195.01	693	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	6.5	5.3	-3.5	-4.7	273881.1508	3938640.6540	587.5340	12.40	12.70	N	N	1	1	ND	ND	ND	previously tagged	
Clingmans Dome	196.01	694	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	6.5	4.0	-3.5	-6.0	273882.1169	3938639.7840	586.7221	13.50	14.90	N	N	1	1	ND	ND	ND	previously tagged, tag 40cm below DBH	
Clingmans Dome	197.01	696	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	8.0	7.0	-2.0	-3.0	273880.8912	3938642.9060	591.0584	8.40	8.60	N	N	0	0	ND	ND	ND	previously tagged, tag below DBH	
Clingmans Dome	326.01	697	abieFras	NaN	2014	NaN	NaN	NaN	NaN	-10	-10	8.2	4.0	-1.8	-6.0	273883.2544	3938641.0480	586.7221	NaN	11.40		N		1	ND		ND	previously tagged	
Clingmans Dome	198.01	801	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	4.0	4.8	-6.0	-5.2	273879.8496	3938638.4620	587.5340	3.04	2.95	N	N	0	0	ND	ND	ND	previously tagged	
Clingmans Dome	199.01	802	abieFras	NaN	2011	NaN	2014	NaN	NaN	-10	-10	5.7	4.7	-4.3	-5.3	273881.0614	3938639.6580	587.5340	3.40	NaN	N		0		ND	ND		previously tagged	DEAD
Clingmans Dome	200.01	803	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	0.3	6.0	-9.7	-4.0	273876.4820	3938636.5150	587.5340	3.39	3.70	N	N	0	0	ND	ND	ND	previously tagged	
Clingmans Dome	201.01	804	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	0.5	8.0	-9.5	-2.0	273875.1295	3938638.0020	587.5340	4.20	5.90	N	N	0	0	ND	ND	ND	previously tagged	
Clingmans Dome	202.01	946	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	0.2	6.6	-9.8	-3.4	273875.9692	3938636.8420	587.5340	10.50	10.80	N	N	1	1	ND	ND	ND	previously tagged	
Clingmans Dome	203.01	947	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	0.2	6.5	-9.8	-3.5	273876.0435	3938636.7750	587.5340	5.71	7.00	N	N	0	0	ND	ND	ND	previously tagged	
Clingmans Dome	204.01	951	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	0.0	5.0	-10.0	-5.0	273877.0244	3938635.6230	587.5340	12.80	14.60	N	N	1	1	ND	ND	ND	previously tagged	
Clingmans Dome	205.01	975	abieFras	NaN	2011	NaN	NaN	NaN	NaN	-10	-10	10.0	9.5	0.0	-0.5	273880.3716	3938646.0650	591.0584	42.10	42.60	N	N	2	2	ND	ND	ND	previously tagged	
