Site_Name	trap_number	month	day	year	abieFras	abieFras_fruit	acerPens	acerRubr	acerSpic	acerUNKN	betuLent	betuAlle	betuUNKN	caryTome	cornFlor	faguGran	fraxAmer	fraxPenn	ilexMont	piceRube	piceRube_fruit	piceRubeImma	prunSero	rhodCata	sorbAmer	sorbAmer_fruit	unknUNKN	notes
Noland_Divide	1	5	30	2012	0	0	0	NaN	0	NaN	291	NaN	0	0	0	0	0	0	NaN	9	0	NaN	0	62	0	NaN	NaN	
Noland_Divide	2	5	30	2012	0	0	0	NaN	0	NaN	364	NaN	0	0	0	0	0	0	NaN	13	1	NaN	0	116	0	NaN	NaN	
Noland_Divide	3	5	30	2012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
Noland_Divide	4	5	30	2012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
Noland_Divide	5	5	30	2012	4	4	0	NaN	0	NaN	129	NaN	0	0	0	0	0	0	NaN	102	9	NaN	0	7	0	NaN	NaN	
Noland_Divide	6	5	30	2012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
Noland_Divide	7	5	30	2012	0	0	2	NaN	0	NaN	368	NaN	0	0	0	0	0	0	NaN	35	7	NaN	0	39	0	NaN	NaN	
Noland_Divide	8	5	30	2012	0	0	0	NaN	2	NaN	232	NaN	0	0	0	0	0	0	NaN	52	12	NaN	0	0	0	NaN	NaN	
Noland_Divide	9	5	30	2012	0	0	0	NaN	0	NaN	164	NaN	0	0	0	0	0	0	NaN	31	8	NaN	0	0	0	NaN	NaN	
Noland_Divide	10	5	30	2012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
Noland_Divide	11	5	30	2012	0	0	0	NaN	0	NaN	191	NaN	0	0	0	0	0	0	NaN	13	9	NaN	0	11	0	NaN	NaN	
Noland_Divide	12	5	30	2012	0	0	0	NaN	0	NaN	233	NaN	0	0	0	0	0	0	NaN	54	0	NaN	0	3	0	NaN	NaN	
Noland_Divide	13	5	30	2012	0	0	0	NaN	0	NaN	75	NaN	0	0	0	0	0	0	NaN	18	3	NaN	0	0	0	NaN	NaN	
Noland_Divide	14	5	30	2012	0	0	0	NaN	0	NaN	21	NaN	0	0	0	0	0	0	NaN	13	0	NaN	0	13	0	NaN	NaN	
Noland_Divide	15	5	30	2012	0	0	1	NaN	0	NaN	170	NaN	0	0	0	0	0	0	NaN	67	8	NaN	0	0	0	NaN	NaN	
Noland_Divide	16	5	30	2012	0	0	1	NaN	0	NaN	47	NaN	0	0	0	0	0	0	NaN	27	2	NaN	0	1	0	NaN	NaN	
Noland_Divide	17	5	30	2012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
Noland_Divide	18	5	30	2012	0	0	0	NaN	0	NaN	69	NaN	0	0	0	0	0	0	NaN	51	3	NaN	0	5	0	NaN	NaN	
