Site_name	trap_number	UTM_Easting	UTM_Northing	elevation
Clingmans_Dome	1	273867	3938605	1923.36
Clingmans_Dome	2	273873	3938617	1923.98
Clingmans_Dome	3	273873	3938627	1923.98
Clingmans_Dome	4	273881	3938623	1921.15
Clingmans_Dome	5	273888	3938637	1924.94
Clingmans_Dome	6	273899	3938643	1925.87
Clingmans_Dome	7	273907	3938650	1923.62
Clingmans_Dome	8	273875	3938593	1914.15
Clingmans_Dome	9	273890	3938604	1914.04
Clingmans_Dome	10	273884	3938607	1917.34
Clingmans_Dome	11	273901	3938609	1911.69
Clingmans_Dome	12	273904	3938613	1911.69
Clingmans_Dome	13	273905	3938625	1915.72
Clingmans_Dome	14	273919	3938634	1917.27
Clingmans_Dome	15	273886	3938575	1907.55
Clingmans_Dome	16	273895	3938583	1906.01
Clingmans_Dome	17	273903	3938590	1904.76
Clingmans_Dome	18	273907	3938600	1908.04
Clingmans_Dome	19	273919	3938602	1900.26
Clingmans_Dome	20	273924	3938611	1903.49
Clingmans_Dome	21	273936	3938614	1906.15
Clingmans_Dome	22	273897	3938569	1904.32
Clingmans_Dome	23	273910	3938574	1897.03
Clingmans_Dome	24	273911	3938581	1898.21
Clingmans_Dome	25	273927	3938576	1896.35
Clingmans_Dome	26	273935	3938584	1894.44
Clingmans_Dome	27	273939	3938587	1894.25
Clingmans_Dome	28	273943	3938599	1896.57
Purchase_Knob	1	311471	3940184	1414.25
Purchase_Knob	2	311481	3940185	1414.06
Purchase_Knob	3	311491	3940186	1417.66
Purchase_Knob	4	311501	3940188	1417.49
Purchase_Knob	5	311511	3940189	1417.84
Purchase_Knob	6	311470	3940193	1417.68
Purchase_Knob	7	311480	3940195	1418.05
Purchase_Knob	8	311489	3940196	1417.66
Purchase_Knob	9	311499	3940198	1421.06
Purchase_Knob	10	311509	3940199	1421.21
Purchase_Knob	11	311468	3940203	1417.68
Purchase_Knob	12	311478	3940205	1418.05
Purchase_Knob	13	311488	3940206	1421.46
Purchase_Knob	14	311498	3940208	1421.06
Purchase_Knob	15	311508	3940209	1421.21
Purchase_Knob	16	311467	3940213	1420.90
Purchase_Knob	17	311477	3940215	1425.54
Purchase_Knob	18	311487	3940216	1425.56
Purchase_Knob	19	311497	3940217	1424.90
Purchase_Knob	20	311506	3940219	1424.89
Purchase_Knob	21	311465	3940223	1424.23
Purchase_Knob	22	311475	3940225	1429.02
Purchase_Knob	23	311485	3940226	1429.66
Purchase_Knob	24	311495	3940227	1429.11
Purchase_Knob	25	311505	3940229	1428.84
Noland_Divide	1	275542	3938422	1688.88
Noland_Divide	2	275552	3938422	1689.28
Noland_Divide	3	275562	3938422	1689.69
Noland_Divide	4	275572	3938422	1690.80
Noland_Divide	5	275582	3938422	1691.36
Noland_Divide	6	275542	3938432	1691.51
Noland_Divide	7	275552	3938432	1692.13
Noland_Divide	8	275562	3938432	1692.76
Noland_Divide	9	275572	3938432	1693.49
Noland_Divide	10	275582	3938432	1694.67
Noland_Divide	11	275542	3938442	1694.49
Noland_Divide	12	275552	3938442	1695.12
Noland_Divide	13	275562	3938442	1695.87
Noland_Divide	14	275572	3938442	1696.58
Noland_Divide	15	275582	3938442	1698.24
Noland_Divide	16	275542	3938452	1700.64
Noland_Divide	17	275552	3938452	1701.29
Noland_Divide	18	275562	3938452	1702.03
Noland_Divide	19	275572	3938452	1702.99
Noland_Divide	20	275582	3938452	1705.99
Noland_Divide	21	275542	3938462	1703.92
Noland_Divide	22	275552	3938462	1704.55
Noland_Divide	23	275562	3938462	1705.96
Noland_Divide	24	275572	3938462	1707.81
Noland_Divide	25	275582	3938462	1709.58
