date,site,plot.id,subplot.id,tree.no,species,dbh,distance,bearing,tree.height,crown.base,occl,cr.p,radius1,radius2,notes
2007-08-02,Harvard_Forest,Harv_01,CP,9,none,9.3,4.4,214,NA,NA,V,Dead,NA,NA,broken_1/2up
2007-08-02,Harvard_Forest,Harv_01,CP,86,none,13,8.4,20,NA,NA,V,Dead,NA,NA,half_gone
2007-08-02,Harvard_Forest,Harv_01,CP,144,none,13.6,14.5,178,NA,NA,V,Dead,NA,NA,half_stump
2007-08-02,Harvard_Forest,Harv_01,CP,114,RedMaple,17,19.9,96,NA,NA,O,I,NA,NA,Harv_01_NE11
2007-08-02,Harvard_Forest,Harv_01,CP,109,BlackBirch,21.5,13.1,88,NA,NA,V,I,NA,NA,Harv_01_NE14
2007-08-02,Harvard_Forest,Harv_01,CP,105,RedMaple,21.5,21.7,73,24.5,13.5,V,C,1.5,3.225,Harv_01_NE15
2007-08-02,Harvard_Forest,Harv_01,CP,108,none,15,15,80,NA,NA,O,Dead,NA,NA,Harv_01_NE16
2007-08-02,Harvard_Forest,Harv_01,CP,106,BlackBirch,19.2,15.6,76,NA,NA,V,I,NA,NA,Harv_01_NE17
2007-08-02,Harvard_Forest,Harv_01,CP,104,none,14.3,15.6,69,NA,NA,V,Dead,NA,NA,Harv_01_NE20
2007-08-02,Harvard_Forest,Harv_01,CP,103,RedMaple,15.2,21.2,64,NA,NA,V,I,NA,NA,Harv_01_NE21
2007-08-02,Harvard_Forest,Harv_01,CP,101,RedMaple,21.5,11.6,63,NA,NA,V,I,NA,NA,Harv_01_NE22
2007-08-02,Harvard_Forest,Harv_01,CP,102,RedOak,48,18.1,56,23.2,12,V,D,5,4.2,Harv_01_NE25
2007-08-02,Harvard_Forest,Harv_01,CP,96,RedMaple,29,18.7,51,NA,NA,V,C,NA,NA,Harv_01_NE26
2007-08-02,Harvard_Forest,Harv_01,CP,97,BlackBirch,13,23,54,NA,NA,V,I,NA,NA,Harv_01_NE27
2007-08-02,Harvard_Forest,Harv_01,CP,95,BlackBirch,29.6,21.7,44,NA,NA,V,C,NA,NA,Harv_01_NE28
2007-08-02,Harvard_Forest,Harv_01,CP,90,Beech,18.5,19.9,32,NA,NA,O,I,NA,NA,Harv_01_NE29
2007-08-02,Harvard_Forest,Harv_01,CP,88,RedOak,13.5,20.1,29,NA,NA,O,I,NA,NA,Harv_01_NE30
2007-08-02,Harvard_Forest,Harv_01,CP,94,BlackBirch,17,24,40,NA,NA,O,I,NA,NA,Harv_01_NE32
2007-08-02,Harvard_Forest,Harv_01,CP,92,RedOak,19.4,24.8,34,NA,NA,V,D,NA,NA,Harv_01_NE34
2007-08-02,Harvard_Forest,Harv_01,CP,93,BlackBirch,12,25,39,18.3,9.4,V,I,1.3,3.5,Harv_01_NE35
2007-08-02,Harvard_Forest,Harv_01,CP,89,PaperBirch,22.8,24.8,30,NA,NA,O,D,NA,NA,Harv_01_NE37
2007-08-02,Harvard_Forest,Harv_01,CP,113,RedMaple,34,23.4,94,NA,NA,O,I,NA,NA,Harv_01_NE9
2007-08-02,Harvard_Forest,Harv_01,CP,54,RedMaple,29,24.5,304,NA,NA,V,C,NA,NA,Harv_01_NW110
2007-08-02,Harvard_Forest,Harv_01,CP,51,RedOak,42.7,23.9,300,NA,NA,V,C,NA,NA,Harv_01_NW111
