plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date
Harv_01_CP,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,2,183,15,19.1,NA,PaperBirch,NA,18.6,10.4,3.1,3.1,NA,2010-09-18
Harv_01_CP,3,184,15.5,24.5,NA,PaperBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,4,184,15.5,14.5,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,5,195,5.3,16.8,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,6,194,8.5,4.3,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,7,199,16.2,9.7,NA,Dead,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,8,210,5.2,7.4,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,9,214,4.4,9.6,NA,Dead,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,10,227,4.4,10.1,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,11,220,15,47.3,NA,RedOak,NA,19.5,10.6,8.3,6.8,NA,2010-09-18
Harv_01_CP,16,227,8.2,16,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,18,228,18,11,NA,RedMaple,NA,17.3,8.9,2.92,4.6,NA,2010-09-18
Harv_01_CP,19,228,19.5,13.9,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,20,230,15,12.5,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,21,235,12.2,55.5,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,22,238,11.7,18.6,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,24,243,8,8.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,25,246,14.8,11,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,26,245,19.2,10.6,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,27,250,8.6,46.6,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,29,258,9.8,26,NA,RedOak,NA,19.1,9.7,7.1,5.5,NA,2010-09-18
Harv_01_CP,30,260,9.4,8.5,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,31,260,9.3,9,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,32,261,9.5,14.6,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,33,260,15.5,21,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,34,263,19.4,15.8,NA,BlackBirch,NA,16.4,5,6.6,4.3,NA,2010-09-18
Harv_01_CP,35,271,7.5,15,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,36,272,18.7,16,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,37,273,18.6,17,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,38,273,18.9,19,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,40,280,18.1,10.3,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,42,289,11.5,26.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,43,293,15.1,67.5,NA,WhitePine,NA,28.9,14,7.7,6.1,NA,2010-09-18
Harv_01_CP,44,292,18,17,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,45,300,2,39.5,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,46,300,6,4.9,NA,Dead,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,47,301,7.5,4.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,48,301,13.3,17,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,49,301,14.7,12.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,55,308,8.9,30.3,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,56,310,7.5,5.4,NA,Chestnut,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,57,311,16.4,59.7,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,59,315,5.1,3.5,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,60,320,2.7,19,NA,RedMaple,NA,18.9,11.7,5.5,3.5,NA,2010-09-18
Harv_01_CP,61,324,2.9,9,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,62,325,8.3,14,NA,Dead,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,63,323,16.7,17.5,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,65,324,18.8,14.3,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,66,326,18.7,49,NA,WhitePine,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,67,334,14.4,12.8,NA,YellowBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,68,NA,NA,NA,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,75,353,15.3,29.3,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,76,356,16.4,14.3,NA,YellowBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,77,357,16.7,20.3,NA,YellowBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,79,4,16.1,10.5,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,81,12,7.7,59.5,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,82,11,3.7,33,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,83,13,16.1,26.9,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,84,12.5,20.4,11,NA,YellowBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,85,15,15,14.3,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,86,NA,NA,NA,NA,Dead,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,90,30,19.7,19.1,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,91,38,8.2,19,NA,BlackBirch,NA,16,7.2,9.4,4.8,NA,2010-09-18
Harv_01_CP,96,50,18.8,28.3,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,98,50,12.2,15.2,NA,YellowBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,99,57,8.9,4.9,NA,Chestnut,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,100,64,6,5,NA,Dead,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,101,63,11.7,20.3,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,102,56,18.1,48.9,NA,RedOak,NA,25.5,16.3,7.7,11.1,NA,2010-09-18
Harv_01_CP,104,69,16,13.8,NA,Dead,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,106,76,15.6,20,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,107,80,4.4,56.8,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,108,NA,NA,NA,NA,Fallen,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,109,86,13.2,20.8,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,110,93,3.4,7.9,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,111,95,2.9,10.4,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,112,97,3.2,14.2,NA,Beech,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,114,97,19.8,20.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,115,110,14.7,24.8,NA,RedMaple,NA,22.7,12,7.2,3.2,NA,2010-09-18
Harv_01_CP,116,110,13.8,24.5,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,117,114,14.2,22.1,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,119,115,17.2,48.6,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,122,139,7.8,3.9,NA,YellowBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,123,144,12.7,19.3,NA,RedOak,NA,21,12.3,5.25,5.15,NA,2010-09-18
Harv_01_CP,124,144,15.4,12.3,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,125,144,18.5,20,NA,PaperBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,129,147,11,32.4,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,130,153,17.1,23.4,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,131,156,16.9,25,NA,PaperBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,132,151,6,5.3,NA,RedMaple,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,133,169,2.4,8.5,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,134,169,4.5,38.6,NA,RedOak,NA,NA,NA,NA,NA,NA,2010-09-18
Harv_01_CP,135,161,9,4.6,NA,Chestnut,NA,NA,NA,NA,NA,NA,2010-09-18
