plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date,tree.no.2012
Harv_01_CP,0,0,7.4,3.5,V,Chestnut,S,4.9,5.1,4,3.5,NA,2013-09-20,156
Harv_01_CP,1,10.1,3.9,25,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,2,10.1,7.6,60.7,V,RedOak,D,22,10.4,16,12.2,NA,2013-09-20,81
Harv_01_CP,3,38,8.4,19.2,V,BlackBirch,I,11.6,2.3,7.6,7.4,NA,2013-09-20,91
Harv_01_CP,4,50,12.3,15.3,V,Dead,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,5,57,9,5.3,V,Chestnut,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,6,61,11.8,20.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,7,55,15.5,5.8,P,Chestnut,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,8,74,18.6,20.8,P,BlackBirch,I,21.9,9.7,7.9,7.2,NA,2013-09-20,106
Harv_01_CP,9,63,6,5,V,Chestnut,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,10,65,15.8,14,V,Dead,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,11,85,13.4,21.3,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,12,77,4.4,58.3,V,RedOak,D,23.5,9.7,14.3,13.6,NA,2013-09-20,107
Harv_01_CP,13,112,14.2,22,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,14,110,14.1,26.2,V,RedMaple,C,24.5,4,7.8,7.3,NA,2013-09-20,115
Harv_01_CP,15,91,34,8.2,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,16,93,2.9,10.9,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,17,95,3.3,14.6,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,18,110,13.9,26.2,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,19,143,12.8,19.8,V,RedMaple,C,16,11,4.9,8.1,NA,2013-09-20,123
Harv_01_CP,20,115,17.1,49.5,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,21,149,6.2,5.7,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,22,128,18.2,8.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,23,171,4.5,39,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,24,143,13.8,12.6,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,25,171,2.5,8.5,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,26,144,19,19.7,NA,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,27,195,5.4,17.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,28,147,11.6,27.5,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,29,147,11.4,12.1,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,30,147,11.2,9.8,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,31,210,5.2,7.2,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,32,229,4.7,10.9,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,33,229,8.6,16.4,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,34,152,17,24.3,V,NA,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,35,154,17,25.9,V,NA,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,36,182,15,19.2,V,WhiteBirch,C,21.6,10.4,2.1,2.9,NA,2013-09-20,2
Harv_01_CP,37,184,15.3,24.3,V,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,38,160,13.4,25.9,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,39,186,15,15.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,40,234,12.5,56.5,V,RedMaple,D,33.4,9.6,17.3,10.7,NA,2013-09-20,21
Harv_01_CP,41,165,13.5,20.3,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,42,165,16.5,9.4,V,Dead,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,43,172,15.4,15.6,O,WhiteOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,44,237,11.8,19,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,45,219,15,47.5,V,RedOak,D,24.7,11.9,9.1,11.4,NA,2013-09-20,11
Harv_01_CP,46,172,18.3,42.1,NA,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,47,230,15.7,12.8,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,48,246,15.2,11.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,49,211,15.9,19.7,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,50,243,8,8.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,51,249,8.6,47.4,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,52,260,10,26.1,V,RedOak,C,14.5,7,5.3,7.2,Top off,2013-09-20,29
Harv_01_CP,53,261,10,8.5,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,54,261,9.4,9.6,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
